No.,Feedstock digestate,"C,in (wt%)","H,in (wt%)","N,in (wt%)","S,in (wt%)","O,in (wt%)","VM,in (%)","FC,in (%)","Ash,in (%)",THTC(degC),tres(h),Solid load (%),"HHV,in (MJ/kg)",Yield (% dry basis),"C,out (wt%)","H,out (wt%)","N,out (wt%)","S,out (wt%)","O,out (wt%)","VM,out (%)","FC,out (%)","Ash,out (%)","HHV,out (MJ/kg)",Type,Ref.
125,CC,45.92434736,6.180074587,0.245071923,0.127863612,47.52264251,78.51647119,17.2,4.283528812,350,1.5,10,17.2,34,76.48,4.27,0.53,0.13,18.59,30,63.6,6.398720256,27.8,Biomass,Zhang2015
126,CC,45.92434736,6.180074587,0.245071923,0.127863612,47.52264251,78.51647119,17.2,4.283528812,370,1.5,10,17.2,33,75.65,4.63,0.49,0.08,19.15,27.2,65.8,7.004903432,27.6,Biomass,Zhang2015
127,RF,45.33,6.16,13.42,0.85,34.24,81.95,5.95,12.1,150,1,50,19.7,72.9,27.35,3.62,3.68,0.21,65.14,68.74,2.3,28.96,19.75,Organics,Kannan2017a
128,RF,45.33,6.16,13.42,0.85,34.24,81.95,5.95,12.1,150,1.5,50,19.7,71.7,38.72,4.97,5.27,0.34,50.7,65.07,7.7,27.23,21.79,Organics,Kannan2017a
129,RF,45.33,6.16,13.42,0.85,34.24,81.95,5.95,12.1,150,2,50,19.7,70.9,42.1,5.3,6.32,0.36,45.92,64.64,9.48,25.88,20.96,Organics,Kannan2017a
130,RF,45.33,6.16,13.42,0.85,34.24,81.95,5.95,12.1,180,1,50,19.7,64.8,54.51,6.27,7.35,0.43,31.44,63.19,9.26,27.55,24.39,Organics,Kannan2017a
131,RF,45.33,6.16,13.42,0.85,34.24,81.95,5.95,12.1,180,1.5,50,19.7,59.2,51.76,5.95,7.23,0.44,34.62,61.85,15.07,23.08,22.28,Organics,Kannan2017a
132,RF,45.33,6.16,13.42,0.85,34.24,81.95,5.95,12.1,180,2,50,19.7,56.1,48.09,5.37,6.84,0.37,39.33,59.05,20.82,20.13,22.71,Organics,Kannan2017a
133,RF,45.33,6.16,13.42,0.85,34.24,81.95,5.95,12.1,210,1,50,19.7,51.5,52.86,5.82,6.86,0.26,34.2,62.45,16.3,21.25,23.47,Organics,Kannan2017a
134,RF,45.33,6.16,13.42,0.85,34.24,81.95,5.95,12.1,210,1.5,50,19.7,49.2,49.41,5.86,6.83,0.44,37.46,61.03,17.59,21.38,21.58,Organics,Kannan2017a
135,RF,45.33,6.16,13.42,0.85,34.24,81.95,5.95,12.1,210,2,50,19.7,45,49.78,5.54,6.85,0.4,37.43,60.77,18.18,21.05,22.86,Organics,Kannan2017a
136,SW,50.53359916,8.103670693,13.4513897,0,27.91134045,83.77,1.5,14.73,150,1,50,18.8,17.79,39.02,5.45,4.54,0.32,50.67,70.08,9.82,20.09588494,18.26,Organics,Kannan2017b
137,SW,50.53359916,8.103670693,13.4513897,0,27.91134045,83.77,1.5,14.73,150,1.5,50,18.8,21.54,44.45,6.16,5.21,0.33,43.85,67.91,12.62,19.47173458,19.53,Organics,Kannan2017b
138,SW,50.53359916,8.103670693,13.4513897,0,27.91134045,83.77,1.5,14.73,150,2,50,18.8,20.7,45.08,6.23,5.17,0.28,43.24,66.04,14.74,19.22455574,19.87,Organics,Kannan2017b
139,SW,50.53359916,8.103670693,13.4513897,0,27.91134045,83.77,1.5,14.73,180,1,50,18.8,22.91,42.72,5.46,5.16,0.39,46.27,68.15,12.71,19.13964583,19.13,Organics,Kannan2017b
140,SW,50.53359916,8.103670693,13.4513897,0,27.91134045,83.77,1.5,14.73,180,1.5,50,18.8,26.7,45.96,6.01,5.08,0.34,42.61,66.44,15.5,18.05965257,20.82,Organics,Kannan2017b
141,SW,50.53359916,8.103670693,13.4513897,0,27.91134045,83.77,1.5,14.73,180,2,50,18.8,30.75,45.73,6.06,4.91,0.14,43.16,65.51,16.47,18.01934743,23.22,Organics,Kannan2017b
142,SW,50.53359916,8.103670693,13.4513897,0,27.91134045,83.77,1.5,14.73,210,1,50,18.8,21.95,46.45,5.83,4.62,0.01,43.09,67.02,14.49,18.49376477,19.8,Organics,Kannan2017b
143,SW,50.53359916,8.103670693,13.4513897,0,27.91134045,83.77,1.5,14.73,210,1.5,50,18.8,29.27,47.21,5.81,4.98,0.15,41.85,65.24,17.13,17.63446174,20.99,Organics,Kannan2017b
144,SW,50.53359916,8.103670693,13.4513897,0,27.91134045,83.77,1.5,14.73,210,2,50,18.8,34.49,49.23,5.78,5.69,0.01,39.29,63.73,18.52,17.74962987,21.1,Organics,Kannan2017b
145,PL,50.49031332,6.685003588,5.010762975,0.777325999,37.03659412,72.95,10.67,16.38,150,0.5,20,17.18,87.17,50.38,6.53,3.4,0.26,39.42,72,15.41,12.59,17.93,Organics,Ghanim2016
146,PL,50.49031332,6.685003588,5.010762975,0.777325999,37.03659412,72.95,10.67,16.38,175,0.5,20,17.18,75.36,50.96,6.7,5.38,0.85,36.12,68.26,15.52,16.22,17.99,Organics,Ghanim2016
147,PL,50.49031332,6.685003588,5.010762975,0.777325999,37.03659412,72.95,10.67,16.38,200,0.5,20,17.18,41.8,60.63,7.08,4.11,0.29,27.89,66.79,17.97,15.24,21.36,Organics,Ghanim2016
148,PL,50.49031332,6.685003588,5.010762975,0.777325999,37.03659412,72.95,10.67,16.38,225,0.5,20,17.18,38.39,62.89,7.25,4.47,0.37,25.02,59.81,21.17,19.02,22.34,Organics,Ghanim2016
149,PL,50.49031332,6.685003588,5.010762975,0.777325999,37.03659412,72.95,10.67,16.38,250,0.5,20,17.18,32.74,76.85,7.75,6.9,0.5,8,46.77,25.16,28.07,23.34,Organics,Ghanim2016
150,PL,50.49031332,6.685003588,5.010762975,0.777325999,37.03659412,72.95,10.67,16.38,275,0.5,20,17.18,26.37,75.94,7.18,6.62,0.51,9.74,40.24,25.89,33.87,21.46,Organics,Ghanim2016
151,PL,50.49031332,6.685003588,5.010762975,0.777325999,37.03659412,72.95,10.67,16.38,300,0.5,20,17.18,29.51,83.84,8.1,6.57,0.5,0.99,45.48,23.09,31.43,24.93,Organics,Ghanim2016
152,PL,50.49031332,6.685003588,5.010762975,0.777325999,37.03659412,72.95,10.67,16.38,150,2,20,17.18,80.46,51.11,6.6,4.91,0.63,36.75,70.42,13.53,16.05,17.25,Organics,Ghanim2016
153,PL,50.49031332,6.685003588,5.010762975,0.777325999,37.03659412,72.95,10.67,16.38,175,2,20,17.18,41.94,56.53,6.76,3.96,0.39,32.38,69.86,15.88,14.26,20.23,Organics,Ghanim2016
154,PL,50.49031332,6.685003588,5.010762975,0.777325999,37.03659412,72.95,10.67,16.38,200,2,20,17.18,45.76,62,7.16,4.56,0.41,25.87,62.9,20.71,16.39,22.66,Organics,Ghanim2016
155,PL,50.49031332,6.685003588,5.010762975,0.777325999,37.03659412,72.95,10.67,16.38,225,2,20,17.18,35.41,68.16,7.33,5.74,0.43,18.34,52.39,23.81,23.8,23.11,Organics,Ghanim2016
156,PL,50.49031332,6.685003588,5.010762975,0.777325999,37.03659412,72.95,10.67,16.38,250,2,20,17.18,32.76,76.97,7.6,6.83,0.46,8.13,46.89,26.84,26.27,24.67,Organics,Ghanim2016
157,PL,50.49031332,6.685003588,5.010762975,0.777325999,37.03659412,72.95,10.67,16.38,275,2,20,17.18,30.08,78.32,7.6,6.29,0.44,7.34,45.7,24.81,29.49,25.08,Organics,Ghanim2016
158,PL,50.49031332,6.685003588,5.010762975,0.777325999,37.03659412,72.95,10.67,16.38,300,2,20,17.18,25.74,80.56,7.72,6.34,0.44,4.94,40.75,25.85,33.4,23.53,Organics,Ghanim2016
159,PL,50.49031332,6.685003588,5.010762975,0.777325999,37.03659412,72.95,10.67,16.38,150,8,20,17.18,71.36,53.65,6.77,4.73,0.52,34.32,68.93,15.14,15.93,18.07,Organics,Ghanim2016
160,PL,50.49031332,6.685003588,5.010762975,0.777325999,37.03659412,72.95,10.67,16.38,175,8,20,17.18,45.15,61,6.77,4.34,0.37,27.52,65.42,20.09,14.49,21.84,Organics,Ghanim2016
161,PL,50.49031332,6.685003588,5.010762975,0.777325999,37.03659412,72.95,10.67,16.38,200,8,20,17.18,39.88,66.11,7.17,4.94,0.42,21.36,57.01,22.17,20.82,21.94,Organics,Ghanim2016
162,PL,50.49031332,6.685003588,5.010762975,0.777325999,37.03659412,72.95,10.67,16.38,225,8,20,17.18,33.34,71.26,7.08,6.18,0.53,14.95,47.31,25.96,26.73,22.67,Organics,Ghanim2016
163,PL,50.49031332,6.685003588,5.010762975,0.777325999,37.03659412,72.95,10.67,16.38,250,8,20,17.18,32.75,77.5,7.58,6.3,0.55,8.06,46.72,25.93,27.35,25.17,Organics,Ghanim2016
164,PL,50.49031332,6.685003588,5.010762975,0.777325999,37.03659412,72.95,10.67,16.38,275,8,20,17.18,28.34,79.17,7.49,6.36,0.4,6.58,41.57,27.83,30.6,23.81,Organics,Ghanim2016
165,PL,50.49031332,6.685003588,5.010762975,0.777325999,37.03659412,72.95,10.67,16.38,300,8,20,17.18,23.13,80.96,7.23,6.26,0.32,5.23,33.76,28.54,37.7,22.46,Organics,Ghanim2016
166,PSS,36.63,5.79,5.29,0,52.29,68.56,3.9,27.54,140,4,4.3,18.770862,74.64,37.15,5.34,4.56,0,52.95,61.92,0.93,37.15,18.136057,Sewage sludge,Danso2015
167,PSS,36.63,5.79,5.29,0,52.29,68.56,3.9,27.54,160,1,4.3,18.770862,81.13,37.69,5.76,4.5,0,52.05,59.24,3.07,37.69,18.815623,Sewage sludge,Danso2015
168,PSS,36.63,5.79,5.29,0,52.29,68.56,3.9,27.54,160,2,4.3,18.770862,71.08,38.02,5.63,4.31,0,52.04,60.14,1.84,38.02,18.75174,Sewage sludge,Danso2015
169,PSS,36.63,5.79,5.29,0,52.29,68.56,3.9,27.54,160,4,4.3,18.770862,67.11,38.07,5.43,3.62,0,52.88,60.73,1.2,38.07,18.450451,Sewage sludge,Danso2015
170,PSS,36.63,5.79,5.29,0,52.29,68.56,3.9,27.54,180,0.5,4.3,18.770862,70.74,37.83,5.48,4.11,0,52.58,58.87,3.3,37.83,18.484421,Sewage sludge,Danso2015
171,PSS,36.63,5.79,5.29,0,52.29,68.56,3.9,27.54,180,1,4.3,18.770862,67.18,37.93,5.38,3.8,0,52.89,59.43,2.64,37.93,18.363555,Sewage sludge,Danso2015
172,PSS,36.63,5.79,5.29,0,52.29,68.56,3.9,27.54,180,2,4.3,18.770862,64.31,38.16,5.32,2.81,0,53.71,59.94,1.9,38.16,18.25642,Sewage sludge,Danso2015
173,PSS,36.63,5.79,5.29,0,52.29,68.56,3.9,27.54,180,4,4.3,18.770862,61.87,38.29,5.19,2.75,0,53.77,58.2,3.51,38.29,18.138945,Sewage sludge,Danso2015
174,PSS,36.63,5.79,5.29,0,52.29,68.56,3.9,27.54,200,0.25,4.3,18.770862,69.32,37.69,5.4,3.14,0,53.77,61.34,0.97,37.69,18.228783,Sewage sludge,Danso2015
175,PSS,36.63,5.79,5.29,0,52.29,68.56,3.9,27.54,200,0.5,4.3,18.770862,66.83,37.85,5.39,3.04,0,53.72,60.76,1.39,37.85,18.260185,Sewage sludge,Danso2015
176,PSS,36.63,5.79,5.29,0,52.29,68.56,3.9,27.54,200,1,4.3,18.770862,64.06,37.95,5.22,2.75,0,54.08,60.91,1.14,37.95,18.058093,Sewage sludge,Danso2015
177,PSS,36.63,5.79,5.29,0,52.29,68.56,3.9,27.54,200,2,4.3,18.770862,61.26,38.86,5.16,2.65,0,53.33,59.66,1.48,38.86,18.28715,Sewage sludge,Danso2015
178,PSS,36.63,5.79,5.29,0,52.29,68.56,3.9,27.54,200,4,4.3,18.770862,60.54,39.24,5.12,2.55,0,53.09,55.06,5.7,39.24,18.358232,Sewage sludge,Danso2015
179,PW,39.3,6.4,0,0,54.3,79.4,12.2,8.4,230,0.5,20,20.26358,83.3,40.33,6.13,0,0,53.54,70.86,15.94,13.2,20.215208,Biomass,Lin2017
180,PW,39.3,6.4,0,0,54.3,79.4,12.2,8.4,250,0.5,20,20.26358,57.9,48.28,5.25,0.03,0,46.45,56.58,20.72,22.7,21.863273,Biomass,Lin2017
181,PW,39.3,6.4,0,0,54.3,79.4,12.2,8.4,250,1,20,20.26358,53.3,54.04,5.21,0.04,0,40.71,50.78,20.09,29.1,23.779596,Biomass,Lin2017
182,PW,39.3,6.4,0,0,54.3,79.4,12.2,8.4,250,2,20,20.26358,46.9,57.18,4.39,0.03,0,38.4,47.2,21.57,31.2,23.89913,Biomass,Lin2017
183,WW,42.2,6.9,3.9,0,47,75,16.4,8.53,210,0.5,20,22.364557,71.6,48.63,6.84,1.62,0,42.91,72.28,20.29,7.4,24.395034,Biomass,Lin2017
184,WW,42.2,6.9,3.9,0,47,75,16.4,8.53,210,1,20,22.364557,64.1,49.68,6.73,1.96,0,41.63,70.25,22.63,7.1,24.691804,Biomass,Lin2017
185,WW,42.2,6.9,3.9,0,47,75,16.4,8.53,250,0.5,20,22.364557,55.1,55.6,6.52,3.03,0,34.85,60.2,31.66,8.1,26.699846,Biomass,Lin2017
186,WW,42.2,6.9,3.9,0,47,75,16.4,8.53,250,1,20,22.364557,50.5,61.16,6.31,4.11,0,28.42,54.21,36.3,9.5,28.569492,Biomass,Lin2017
187,FW,45.1,7.3,2.9,0,44.6,81.9,13.5,4.65,210,0.5,20,23.865875,70.3,64.58,6.92,4.34,0,24.16,58.98,36.45,4.6,30.673008,Organics,Lin2017
188,FW,45.1,7.3,2.9,0,44.6,81.9,13.5,4.65,210,1.5,20,23.865875,60.8,64.2,6.69,4.16,0,24.95,52,43.79,4.2,30.247762,Organics,Lin2017
189,FW,45.1,7.3,2.9,0,44.6,81.9,13.5,4.65,250,0.5,20,23.865875,54.3,68.42,6.75,4.26,0,20.57,45.23,50.33,4.4,31.86363,Organics,Lin2017
190,RW,84.9,8.4,0.5,1.3,4.9,63.3,31.8,4.9,280,1,20,39.27476,97.3,87.93,8.58,0.21,1.23,2.06,61.86,31.97,6.2,40.538174,Rubber,Lin2017
191,RW,84.9,8.4,0.5,1.3,4.9,63.3,31.8,4.9,280,2,20,39.27476,96.6,88.98,8.66,0.22,1.2,0.93,61.18,32.18,6.6,41.011723,Rubber,Lin2017
192,MS,48.69634978,6.237464902,0.411151223,0,44.6550341,78.22,21.5,0.28,170,3,50,19.09,78.43,55.75,5.93,0.42,0,37.9,63.1,36.9,0,22.69,Biomass,Kanchanatip2023
193,MS,48.69634978,6.237464902,0.411151223,0,44.6550341,78.22,21.5,0.28,200,3,50,19.09,74.32,69.15,5.62,0.42,0,24.81,54.43,45.57,0,23.61,Biomass,Kanchanatip2023
194,MS,48.69634978,6.237464902,0.411151223,0,44.6550341,78.22,21.5,0.28,230,3,50,19.09,63.83,70.88,5.2,0.36,0,23.56,54.02,45.98,0,27.09,Biomass,Kanchanatip2023
195,MS,48.69634978,6.237464902,0.411151223,0,44.6550341,78.22,21.5,0.28,170,3,33.3,19.09,77.89,58.14,6.43,0.64,0,34.79,60.87,39.13,0,22.32,Biomass,Kanchanatip2023
196,MS,48.69634978,6.237464902,0.411151223,0,44.6550341,78.22,21.5,0.28,200,3,33.3,19.09,72.96,67.73,5.65,0.43,0,26.19,56.09,43.91,0,23.77,Biomass,Kanchanatip2023
197,MS,48.69634978,6.237464902,0.411151223,0,44.6550341,78.22,21.5,0.28,230,3,33.3,19.09,60.83,70.22,5.37,0.58,0,23.83,54.66,45.34,0,27.29,Biomass,Kanchanatip2023
198,MS,48.69634978,6.237464902,0.411151223,0,44.6550341,78.22,21.5,0.28,170,3,20,19.09,76.83,56.79,6.86,0.43,0,35.92,63.37,36.63,0,22.22,Biomass,Kanchanatip2023
199,MS,48.69634978,6.237464902,0.411151223,0,44.6550341,78.22,21.5,0.28,200,3,20,19.09,71.97,66.81,5.74,0.35,0,27.1,55.7,44.3,0,23.77,Biomass,Kanchanatip2023
200,MS,48.69634978,6.237464902,0.411151223,0,44.6550341,78.22,21.5,0.28,230,3,20,19.09,58.38,70.61,5.28,0.36,0,23.75,49.61,50.39,0,26.98,Biomass,Kanchanatip2023
201,CH,50.05181347,5.803108808,0.414507772,0.103626943,43.62694301,61.8,34.8,3.4,140,4,10,19.1,77.22408027,51.56092649,6.042296073,0.503524673,0.100704935,41.79254783,59.85985986,39.63963964,0.500500501,20.7,Biomass,Nakason2018
202,CH,50.05181347,5.803108808,0.414507772,0.103626943,43.62694301,61.8,34.8,3.4,160,4,10,19.1,66.92307692,54.01606426,5.823293173,0.502008032,0.100401606,39.55823293,56.84315684,42.55744256,0.599400599,21.6,Biomass,Nakason2018
203,CH,50.05181347,5.803108808,0.414507772,0.103626943,43.62694301,61.8,34.8,3.4,180,4,10,19.1,65.25083612,56.88442211,5.728643216,0.502512563,0.100502513,36.7839196,55.9,43.6,0.5,22.7,Biomass,Nakason2018
204,CH,50.05181347,5.803108808,0.414507772,0.103626943,43.62694301,61.8,34.8,3.4,200,4,10,19.1,67.99331104,59.51903808,5.711422846,0.501002004,0.100200401,34.16833667,54,45.7,0.3,23.9,Biomass,Nakason2018
205,CH,50.05181347,5.803108808,0.414507772,0.103626943,43.62694301,61.8,34.8,3.4,200,1,10,19.1,71.00334448,56.53923541,5.83501006,0.503018109,0.100603622,37.0221328,55.2,44.2,0.6,22.6,Biomass,Nakason2018
206,CH,50.05181347,5.803108808,0.414507772,0.103626943,43.62694301,61.8,34.8,3.4,200,2,10,19.1,70.26755853,57.45745746,5.705705706,0.500500501,0.1001001,36.23623624,53.7,46.2,0.1,23,Biomass,Nakason2018
207,CH,50.05181347,5.803108808,0.414507772,0.103626943,43.62694301,61.8,34.8,3.4,200,3,10,19.1,70,58.47542628,5.817452357,0.501504514,0.100300903,35.10531595,53.44655345,46.15384615,0.3996004,23.5,Biomass,Nakason2018
208,CH,50.05181347,5.803108808,0.414507772,0.103626943,43.62694301,61.8,34.8,3.4,200,4,10,19.1,67.99331104,59.51903808,5.711422846,0.501002004,0.100200401,34.16833667,54,45.7,0.3,23.9,Biomass,Nakason2018
209,RH,47.31707317,6.707317073,0.731707317,0.12195122,45.12195122,60.3,21.5,18.2,140,4,10,15.6,86.72240803,48.05352798,6.447688564,0.608272506,0.121654501,44.76885645,56.2,23.9,19.9,16.1,Biomass,Nakason2018
210,RH,47.31707317,6.707317073,0.731707317,0.12195122,45.12195122,60.3,21.5,18.2,160,4,10,15.6,74.01337793,50.6377551,6.760204082,0.765306122,0.12755102,41.70918367,52.44755245,26.47352647,21.07892108,16.2,Biomass,Nakason2018
211,RH,47.31707317,6.707317073,0.731707317,0.12195122,45.12195122,60.3,21.5,18.2,180,4,10,15.6,74.21404682,53.74841169,6.607369759,0.635324015,0.127064803,38.88182973,51.34865135,27.57242757,21.07892108,17.3,Biomass,Nakason2018
212,RH,47.31707317,6.707317073,0.731707317,0.12195122,45.12195122,60.3,21.5,18.2,200,4,10,15.6,69.06354515,56.76020408,6.505102041,0.765306122,0.12755102,35.84183673,48.3,30.1,21.6,18.2,Biomass,Nakason2018
213,RH,47.31707317,6.707317073,0.731707317,0.12195122,45.12195122,60.3,21.5,18.2,200,1,10,15.6,70.13377926,54.10872314,6.573957016,0.632111252,0.12642225,38.55878635,51.1,28,20.9,17.5,Biomass,Nakason2018
214,RH,47.31707317,6.707317073,0.731707317,0.12195122,45.12195122,60.3,21.5,18.2,200,2,10,15.6,71.6722408,54.69543147,6.472081218,0.634517766,0.126903553,38.07106599,49.6,29.2,21.2,17.6,Biomass,Nakason2018
215,RH,47.31707317,6.707317073,0.731707317,0.12195122,45.12195122,60.3,21.5,18.2,200,3,10,15.6,72.27424749,55.54140127,6.624203822,0.76433121,0.127388535,36.94267516,49.3,29.1,21.6,17.8,Biomass,Nakason2018
216,RH,47.31707317,6.707317073,0.731707317,0.12195122,45.12195122,60.3,21.5,18.2,200,4,10,15.6,69.13043478,56.76020408,6.505102041,0.765306122,0.12755102,35.84183673,48.3,30.1,21.6,18.2,Biomass,Nakason2018
217,CC,46.82139253,6.256306761,0.706357215,0.100908174,46.11503532,76.07607608,23.02302302,0.900900901,160,1,20,18.7,54.1,48.09,6.12,1,0.1,44.68,73,26.6,0.4,19.3,Biomass,Nakason2018b
218,CC,46.82139253,6.256306761,0.706357215,0.100908174,46.11503532,76.07607608,23.02302302,0.900900901,180,1,20,18.7,51.3,51.55,6.02,1.1,0.1,41.22,69.5,30.1,0.4,20.7,Biomass,Nakason2018b
219,CC,46.82139253,6.256306761,0.706357215,0.100908174,46.11503532,76.07607608,23.02302302,0.900900901,200,1,20,18.7,57.8,54.12,5.82,1,0.1,38.96,65.4,34.3,0.3,21.6,Biomass,Nakason2018b
220,CC,46.82139253,6.256306761,0.706357215,0.100908174,46.11503532,76.07607608,23.02302302,0.900900901,160,2,20,18.7,53.7,49,6.12,0.9,0.1,43.88,74,25.6,0.4,19.7,Biomass,Nakason2018b
221,CC,46.82139253,6.256306761,0.706357215,0.100908174,46.11503532,76.07607608,23.02302302,0.900900901,180,2,20,18.7,54,52.51,5.92,0.9,0.1,40.56,68,31.7,0.3,21.1,Biomass,Nakason2018b
222,CC,46.82139253,6.256306761,0.706357215,0.100908174,46.11503532,76.07607608,23.02302302,0.900900901,200,2,20,18.7,58.2,56.76,5.71,0.9,0.1,36.54,62.9,37,0.1,22.7,Biomass,Nakason2018b
223,CC,46.82139253,6.256306761,0.706357215,0.100908174,46.11503532,76.07607608,23.02302302,0.900900901,160,3,20,18.7,51.8,50.05,6.12,0.8,0.1,42.93,73.7,26,0.3,20.1,Biomass,Nakason2018b
224,CC,46.82139253,6.256306761,0.706357215,0.100908174,46.11503532,76.07607608,23.02302302,0.900900901,180,3,20,18.7,57.4,53.91,5.81,0.8,0.1,39.38,67.83,31.97,0.1998002,21.6,Biomass,Nakason2018b
225,CC,46.82139253,6.256306761,0.706357215,0.100908174,46.11503532,76.07607608,23.02302302,0.900900901,200,3,20,18.7,58.6,57.96,5.61,0.8,0.1,35.54,59.5,40.4,0.1,23.2,Biomass,Nakason2018b
226,CC,46.82139253,6.256306761,0.706357215,0.100908174,46.11503532,76.07607608,23.02302302,0.900900901,160,1,10,18.7,56.8,48.95,6.42,0.9,0.1,43.63,71.4,28.3,0.3,20.1,Biomass,Nakason2018b
227,CC,46.82139253,6.256306761,0.706357215,0.100908174,46.11503532,76.07607608,23.02302302,0.900900901,180,1,10,18.7,51.4,50.65,6.29,0.9,0.2,41.96,70.4,29.6,0,20.8,Biomass,Nakason2018b
228,CC,46.82139253,6.256306761,0.706357215,0.100908174,46.11503532,76.07607608,23.02302302,0.900900901,200,1,10,18.7,56.4,54.61,6.11,0.9,0.1,38.28,64.4,35.4,0.2,22.2,Biomass,Nakason2018b
229,CC,46.82139253,6.256306761,0.706357215,0.100908174,46.11503532,76.07607608,23.02302302,0.900900901,160,2,10,18.7,54.9,49.6,6.22,1,0.1,43.07,70.8,28.9,0.3,20.2,Biomass,Nakason2018b
230,CC,46.82139253,6.256306761,0.706357215,0.100908174,46.11503532,76.07607608,23.02302302,0.900900901,180,2,10,18.7,53.2,53.1,5.9,0.7,0.2,40.1,67.47,32.53,0,21.3,Biomass,Nakason2018b
231,CC,46.82139253,6.256306761,0.706357215,0.100908174,46.11503532,76.07607608,23.02302302,0.900900901,200,2,10,18.7,56.9,56.16,6.01,0.9,0.1,36.84,61.6,38.4,0,22.9,Biomass,Nakason2018b
232,CC,46.82139253,6.256306761,0.706357215,0.100908174,46.11503532,76.07607608,23.02302302,0.900900901,160,3,10,18.7,53.6,49.9,6.41,1,0.2,42.48,69.1,30.7,0.2,20.5,Biomass,Nakason2018b
233,CC,46.82139253,6.256306761,0.706357215,0.100908174,46.11503532,76.07607608,23.02302302,0.900900901,180,3,10,18.7,55.4,54.35435435,6.106106106,1.001001001,0.2002002,38.33833834,64.5,35.4,0.1,22.2,Biomass,Nakason2018b
234,CC,46.82139253,6.256306761,0.706357215,0.100908174,46.11503532,76.07607608,23.02302302,0.900900901,200,3,10,18.7,57.6,57.7,6,1,0.1,35.2,60.9,39,0.1,23.5,Biomass,Nakason2018b
235,CC,46.82139253,6.256306761,0.706357215,0.100908174,46.11503532,76.07607608,23.02302302,0.900900901,160,1,6.666666667,18.7,58.6,47.74322969,6.218655968,0.702106319,0.100300903,45.23570712,72.3,27.4,0.3,19.3,Biomass,Nakason2018b
236,CC,46.82139253,6.256306761,0.706357215,0.100908174,46.11503532,76.07607608,23.02302302,0.900900901,180,1,6.666666667,18.7,50.1,49.29859719,6.21242485,0.701402806,0.100200401,43.68737475,72.4,27.4,0.2,19.9,Biomass,Nakason2018b
237,CC,46.82139253,6.256306761,0.706357215,0.100908174,46.11503532,76.07607608,23.02302302,0.900900901,200,1,6.666666667,18.7,54.2,52.15215215,6.006006006,0.800800801,0.1001001,40.94094094,68.66866867,31.23123123,0.1001001,21,Biomass,Nakason2018b
238,CC,46.82139253,6.256306761,0.706357215,0.100908174,46.11503532,76.07607608,23.02302302,0.900900901,160,2,6.666666667,18.7,54,48.79759519,6.112224449,0.701402806,0.100200401,44.28857715,72.42757243,27.37262737,0.1998002,19.7,Biomass,Nakason2018b
239,CC,46.82139253,6.256306761,0.706357215,0.100908174,46.11503532,76.07607608,23.02302302,0.900900901,180,2,6.666666667,18.7,51.3,51.40280561,6.012024048,0.801603206,0.100200401,41.68336673,68.63136863,31.16883117,0.1998002,20.7,Biomass,Nakason2018b
240,CC,46.82139253,6.256306761,0.706357215,0.100908174,46.11503532,76.07607608,23.02302302,0.900900901,200,2,6.666666667,18.7,54,55.05505506,5.805805806,0.800800801,0.1001001,38.23823824,64,35.8,0.2,22.1,Biomass,Nakason2018b
241,CC,46.82139253,6.256306761,0.706357215,0.100908174,46.11503532,76.07607608,23.02302302,0.900900901,160,3,6.666666667,18.7,51.4,49.3987976,6.21242485,0.801603206,0.100200401,43.48697395,71.4,28.3,0.3,20,Biomass,Nakason2018b
242,CC,46.82139253,6.256306761,0.706357215,0.100908174,46.11503532,76.07607608,23.02302302,0.900900901,180,3,6.666666667,18.7,51.8,52.65265265,6.006006006,0.800800801,0.1001001,40.44044044,67.6,32.2,0.2,21.2,Biomass,Nakason2018b
243,CC,46.82139253,6.256306761,0.706357215,0.100908174,46.11503532,76.07607608,23.02302302,0.900900901,200,3,6.666666667,18.7,53.7,55.85585586,5.805805806,0.800800801,0.1001001,37.43743744,57.6,42.3,0.1,22.5,Biomass,Nakason2018b
